            [852229] | main() {
            [852229] |   toplev::main() {
            [852229] |     pretty_printer::pretty_printer() {
   0.719 us [852229] |       pp_set_prefix();
   1.006 us [852229] |     file_cache::file_cache();
   2.259 us [852229] |     diagnostic_option_classifier::init();
            [852229] |     get_terminal_width() {
   1.141 us [852229] |     make_compiler_data_hooks();
   0.542 us [852229] |     diagnostic_context::set_client_data_hooks();
   0.733 us [852229] |     make_gcc_urlifier();
   7.522 us [852229] |     ht_create();
   0.601 us [852229] |     ht_create();
            [852229] |     linemap_init() {
   0.939 us [852229] |       htab_create();
   5.613 us [852229] |     init_reg_sets();
            [852229] |     gcc::context::context() {
   0.809 us [852229] |       gcc::dump_manager::dump_manager();
            [852229] |     make_pass_warn_unused_result() {
   0.179 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_diagnose_omp_blocks() {
   0.127 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_diagnose_tm_blocks() {
   0.135 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_omp_oacc_kernels_decompose() {
   0.127 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_omp() {
   0.041 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_cf() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_tm() {
   0.040 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_refactor_eh() {
   0.192 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_eh() {
   0.236 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_coroutine_lower_builtins() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_build_cfg() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_warn_function_return() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_coroutine_early_expand_ifns() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_expand_omp() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_build_cgraph_edges() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_free_lang_data() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_function_and_variable_visibility() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_strub_mode() {
   0.037 us [852229] |       opt_pass::opt_pass();
   0.768 us [852229] |     make_pass_build_ssa_passes();
            [852229] |     make_pass_fixup_cfg() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_build_ssa() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_walloca() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_warn_printf() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_warn_nonnull_compare() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_early_warn_uninitialized() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_warn_access() {
   0.038 us [852229] |       opt_pass::opt_pass();
   0.174 us [852229] |       pointer_query::pointer_query();
            [852229] |     make_pass_ubsan() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_nothrow() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_rebuild_cgraph_edges() {
   0.036 us [852229] |       opt_pass::opt_pass();
   0.298 us [852229] |     make_pass_local_optimization_passes();
   0.035 us [852229] |     opt_pass::opt_pass();
   0.039 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_local_fn_summary() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_early_inline() {
   0.038 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_warn_recursion() {
   0.038 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_remove_cgraph_callee_edges() {
   0.038 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_early_object_sizes() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ccp() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_forwprop() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_early_thread_jumps() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_sra_early() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_build_ealias() {
   0.156 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_phiprop() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_fre() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_early_vrp() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_merge_phi() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_dse() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_cd_dce() {
